SALMO,COMPOSITOR,HARMONIZAÇÃO,METRIFICAÇÃO,MODO,MÉTRICA,ORIGEM/MELODIA,TIPO,VÍDEO
133B,"Carl G. Glaser, 1828",,"Comissão Brasileira de Salmodia, 2010",,8. 6. 8. 6,Azmon,Melodia harmônica,
133A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2010",Jônio,11 11 8. 10 10 8,"Saltério de Genebra, 1551",Genebrino,
134B,"Clement Cottevill Scholefield, 1874",,"Comissão Brasileira de Salmodia, 2021",,7. 7. 7. 5,Irene,Melodia harmônica,
134A,,"Claude Goudimel, 1564","Comissão Brasileira de Salmodia, 2011",Hipojônio,8 8. 8 8,"Saltério de Genebra, 1551",Genebrino,https://youtu.be/s8UnwA17Dkg?si=D6QUeHcZVjr4Yenx
135B,Melodia tradicional irlandesa,,"Comissão Brasileira de Salmodia, 2020",,10. 10. 10. 11,Slane,Melodia harmônica,https://youtu.be/ifyalcJvFoo?feature=shared
136D,Projeto Sola,,,,,,Moderna,https://www.letras.mus.br/projeto-sola/136/
137B,"José Ramón Gomis, 1904",,Comissão Brasileira de Salmodia,,17. 14. 17. 17. 12. 12. 12. 11. 11,A La Nanita Nana,Melodia harmônica,https://youtu.be/BVFtISffXTk?feature=shared
138B,"Ralph Vaughan Williams, 1906",,"Comissão Brasileira de Salmodia, 2022",,10. 10. 10. 12,Sine Nomine,Melodia harmônica,
139D,Projeto Sola,,,,,,Moderna,https://www.letras.mus.br/joao-mano/salmos-139/
139B,Melodia popular neerlandesa,,"Comissão Brasileira de Salmodia, 2023",,12 11. 12 11,Kremser,Melodia harmônica,https://youtu.be/YdOiE2fa_hU?si=kFQafI8yq03QwM7W
140B,,,,,,,Melodia harmônica,https://youtu.be/LJkkuc9H0RU?si=9Z3dd3u3_e5ODr9s
141F,,,,,,,Inexistente,
142B,Melodia popular americana,,"Comissão Brasileira de Salmodia, 2021 (rev. 2023)",,10 12 12. 12 9. 12 9,A New Commandment,Melodia harmônica,https://youtu.be/TNGEUJATuZQ?feature=shared
143B,"Melodia tradicional silesiana, 1842",,"Comissão Brasileira de Salmodia, 2014",,5. 5. 9. 5. 5. 8,Schönster Herr Jesu,Melodia harmônica,https://youtu.be/ug0NjOyZRnY?feature=shared
144B,"Thomas Campbell, 1825","Comissão Brasileira de Salmodia, 2023","Comissão Brasileira de Salmodia, 2023",,10 11. 9 10. 13 14. 8 9,Sagina,Melodia harmônica,
145F,,,,,,,Inexistente,
146B,"Lowell Mason, 1839",,Comissão Brasileira de Salmodia,,8 7. 8 7. 8 7. 8 7,Ripley,Melodia harmônica,https://youtu.be/DQpRBtcDkVc?feature=shared
147F,,,,,,,Inexistente,
148B,"John Zundel, 1870",,"Comissão Brasileira de Salmodia, 2017",,8 7. 8 7. 8 7. 8 7,Beecher,Melodia harmônica,https://youtu.be/whTuwO0NTNE?si=ZKx8hmcoW_7c6wcC
149B,Melodia tradicional galesa,,"Comissão Brasileira de Salmodia, 2013 (rev. 2021)",,8 8. 7 5. 8 8. 7 5. 6 6. 8 7. 8 8. 8 5,Men of Harlech,Melodia harmônica,https://youtu.be/wxoq-EtYPho?feature=shared
150B,"Franz Joseph Haydn, 1798",,Comissão Brasileira de Salmodia,,11 12 11 12. 11 13 10 12,Creation,Melodia harmônica,
150A,,"Claude Goudimel, 1564",Comissão Brasileira de Salmodia,Jônio,7 7. 7 7. 8 7. 7 8,"Saltério de Genebra, 1562",Genebrino,https://youtu.be/fwjPuOQo9_w?si=BQEvvQ5S0YlkTT8h
